R7,1月,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,
,,,,,,,,月,火,水,木,金,土,日,月,火,水,
1,日替定食,,,,,,,✕,23,22,20,✕,,,✕,27,22,
2,日替丼,,,,,,,✕,✕,✕,✕,✕,,,19,1,0,
4,カレー,,,,,,,１,2,1,4,1,,,3,1,8,
5,カツカレー,,,,,,,０,8,✕,0,0,,,✕,11,0,
6,ハヤシライス,,,,,,,０,✕,✕,0,0,,,✕,0,0,
8,やきめし,,,,,,,０,✕,✕,0,3,,,✕,0,0,
9,醤油ラーメン,,,,,,,３,2,5,5,5,,,4,3,7,
10,醤油ラーメン（大盛）,,,,,,,７,0,4,3,4,,,2,3,1,
11,豚骨ラーメン,,,,,,,３,0,0,1,3,,,6,1,5,
12,豚骨ラーメン（大盛）,,,,,,,９,3,5,2,8,,,0,2,5,
13,チャーシュー醤油,,,,,,,０,0,0,1,0,,,0,2,1,
14,チャーシュー豚骨,,,,,,,０,0,0,0,0,,,1,0,1,
15,ラーメンセットミニ炒飯醤油,,,,,,,０,0,0,0,1,,,0,0,0,
16,ラーメンセットミニ炒飯豚骨,,,,,,,０,0,0,0,4,,,0,0,0,
17,かけうどん,,,,,,,２,0,8,5,3,,,9,8,3,
18,天ぷらうどん,,,,,,,０,2,0,1,0,,,6,3,1,
19,カレーうどん,,,,,,,２,4,1,4,1,,,1,4,6,
20,肉うどん,,,,,,,９,9,3,4,3,,,5,5,8,
21,うどんセット,,,,,,,２,0,0,3,2,,,1,2,0,
23,ラーメンセットミニカレー醤油,,,,,,,０,2,1,5,0,,,1,7,5,
24,ラーメンセットミニカレー豚骨,,,,,,,３,1,0,3,0,,,4,8,3,
25,かけそば,,,,,,,０,1,0,1,0,,,0,1,2,
26,天ぷらそば,,,,,,,０,0,1,0,0,,,2,1,1,
27,カレーそば,,,,,,,０,0,0,0,0,,,0,0,0,
28,肉そば,,,,,,,０,1,0,0,1,,,1,0,1,
29,そばセット,,,,,,,１,0,1,1,0,,,0,0,0,
,,,,,,,,,,,,,,,,,,
,メニュー合計,0,0,0,0,0,0,42,58,52,63,39,0,0,65,90,80,
,,,,,,,,,,,,,,,,,,
R7,4月,17,18,19,20,21,22,23,24,25,26,27,28,29,30,,,
,,木,金,土,日,月,火,水,木,金,土,日,月,火,水,,,
1,日替定食,25,27,,,✕,27,30,26,23,,,✕,,27,,,
2,日替丼,✕,✕,,,17,1,✕,✕,✕,,,20,,✕,,,
4,カレー,1,4,,,4,2,3,1,✕,,,4,,2,,,
5,カツカレー,0,✕,,,0,12,0,✕,✕,,,✕,,✕,,,
6,ハヤシライス,0,✕,,,0,✕,0,✕,12,,,✕,,✕,,,
8,やきめし,0,5,,,0,✕,0,✕,5,,,✕,,✕,,,
9,醤油ラーメン,7,4,,,7,4,3,3,2,,,3,,6,,,
10,醤油ラーメン（大盛）,2,6,,,0,4,7,0,3,,,2,,2,,,
11,豚骨ラーメン,4,0,,,6,5,3,3,4,,,2,,4,,,
12,豚骨ラーメン（大盛）,3,2,,,1,3,4,0,4,,,3,,2,,,
13,チャーシュー醤油,0,1,,,2,3,1,1,2,,,0,,0,,,
14,チャーシュー豚骨,1,0,,,1,1,1,0,1,,,0,,0,,,
15,ラーメンセットミニ炒飯醤油,0,6,,,0,0,0,0,3,,,0,,0,,,
16,ラーメンセットミニ炒飯豚骨,0,7,,,0,0,0,0,4,,,0,,0,,,
17,かけうどん,6,3,,,6,4,6,1,2,,,2,,4,,,
18,天ぷらうどん,3,1,,,1,2,1,3,1,,,0,,1,,,
19,カレーうどん,4,1,,,0,0,1,3,0,,,4,,1,,,
20,肉うどん,3,10,,,8,7,4,10,4,,,6,,7,,,
21,うどんセット,0,5,,,0,2,2,3,3,,,3,,1,,,
23,ラーメンセットミニカレー醤油,5,0,,,1,1,0,3,0,,,4,,6,,,
24,ラーメンセットミニカレー豚骨,6,0,,,2,6,3,5,0,,,1,,1,,,
25,かけそば,1,0,,,1,1,0,2,0,,,2,,1,,,
26,天ぷらそば,0,0,,,0,0,0,2,1,,,0,,0,,,
27,カレーそば,0,0,,,0,0,0,0,0,,,0,,0,,,
28,肉そば,1,1,,,1,0,1,2,1,,,0,,1,,,
